name,type,sub_type,location,status,priority,asset_tag,power_source.1,power_plug_src.1,power_input.1,power_source.2,power_plug_src.2,power_input.2,description,ip.1,company,site_name,region,country,address,contact_name,contact_email,contact_phone,maximum_number_racks,u_size,manufacturer,model,serial_no,runtime,phase,installation_date,maintenance_date,maintenance_due,service_contact_name,service_contact_mail,service_contact_phone,location_front_pos,location_rear_pos,location_u_pos,location_w_pos,location_d_pos,end_warranty_date,battery_type,battery_installation_date,battery_maintenance_date,hostname.1,http_link.1,battery_warranty_expiration_date,creator,floor,flowers,fqdn.1,full_hostname.1,phases.output,site,total_facility_load,warranty_expiration_date,group.1
DC1,datacenter,,,nonactive,P5,myasset1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOM1,room,,,nonactive,P5,myasset2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROW1,row,,,nonactive,P5,myasset3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACK1,rack,,,nonactive,P5,myasset4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serv1,device,server,,nonactive,P5,myasset5,epdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epdu,device,epdu,,nonactive,P5,myasset6,ups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC1
ups,device,ups,,nonactive,P5,myasset7,feed,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC1
feed,device,feed,,nonactive,P5,myasset8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC1
group1,group,power_chain,,nonactive,P5,myasset9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC2,datacenter,,,nonactive,P5,myasset10,,,,,,,,,,,,,,Mike Ekim,mike@nn.com,555-2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
